2026-06-24 14:57:56,915 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 14:59:57,858 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:07:38,098 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:10:11,062 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:12:31,806 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:15:12,867 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:15:17,157 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:15:18,321 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:15:19,455 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:15:22,524 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:15:35,942 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:17:20,927 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:19:46,474 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:22:13,236 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:24:10,073 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:27:18,981 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:30:26,668 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:31:48,785 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:33:03,108 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:36:19,381 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:37:50,900 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:39:33,742 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:40:48,138 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:45:49,682 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:48:50,924 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:50:32,427 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 15:51:41,234 | INFO | MainThread | Veritabani dogrulandi.
